smiles,ri,ri_2
Clc1ccc(S(=O)(=O)Oc2ccc(Cl)cc2)cc1,2147.6190476190477,105.14338160176816
Clc1c(OC)cc(Cl)c(OC)c1,1503.448275862069,71.29982336185049
Clc1ccc(C(=O)c2ccc(Cl)cc2)cc1,1995.6521739130435,87.78567277737353
ClC(Cl)=C(c1ccc(OC)cc1)c1ccc(OC)cc1,2325.0,98.05921395504666
Clc1c(C(O)(c2cncnc2)c2ccc(Cl)cc2)cccc1,2600.0,126.4234493965891
Clc1cc(Cl)cc(N2C(=O)N(C(=O)NC(C)C)CC2=O)c1,2436.842105263158,84.66008318470257
Clc1c(C(CCC)Cn2ncnc2)ccc(Cl)c1,2043.4782608695652,78.39300847676695
Clc1cc(Cl)cc(N2C(=O)C3(C)C(C)(C2=O)C3)c1,2073.913043478261,82.02725479243574
Ic1c(Cl)cc(OP(=S)(OC)OC)c(Cl)c1,2142.8571428571427,103.79821669453075
Clc1c(OP(=S)(OC)OC)c(Cl)cc(C)c1,1883.3333333333333,95.04913182655646
Clc1c(Cl)cccc1,1030.5555555555557,44.49518838652846
ClCC=CCCl,905.7142857142857,36.451763797760655
Cl/C(=C/Cl)/CSC(=O)N(C(C)C)C(C)C,1703.8461538461538,53.46903283862504
Clc1cc(Cl)cc(C(=O)NC(C#C)(C)C)c1,1776.923076923077,54.519889913068354
Clc1c(N)c(Cl)cc([N+](=O)[O-])c1,1711.5384615384614,100.20545594607076
Clc1c(C#N)c(Cl)ccc1,1332.258064516129,86.00021247502818
Clc1c(Oc2ccc([N+](=O)[O-])cc2)ccc(Cl)c1,2220.0,98.45284007954156
Clc1c(Cl)ccc(NC(=O)N(OC)C)c1,1943.4782608695652,86.7588220178217
Clc1c(OC(C)C)cc(N2C(=O)OC(C(C)(C)C)=N2)c(Cl)c1,2176.190476190476,57.643624057680775
Clc1c(Cl)ccc(NC(=O)CC)c1,1862.5,94.73075775527384
ClC(Cl)=C[C@@H]1[C@@H](C(=O)OCc2cc(Oc3ccccc3)ccc2)C1(C)C,2705.8823529411766,84.2550590354773
ClCCOCCCl,985.7142857142857,42.00883849651181
Clc1c(O)ccc(Cl)c1,1165.7142857142858,52.494509207845866
